Name,Description,CreatedAt,PushedAt,UpdatedAt,CommitCount
academicsanalysis,"R scripts for data/stats analysis done for Academics team",2019-11-25T16:09:39Z,2020-03-03T20:13:30Z,2020-03-03T20:13:41Z,7
Admissions-Channel-Automation,"null",2020-01-15T08:06:27Z,2020-07-29T09:39:56Z,2020-07-29T09:39:58Z,53
angular2-json-schema-form,"null",2018-05-25T12:59:36Z,2018-05-26T02:14:12Z,2018-05-26T02:14:10Z,4
apps.kaptest.com,"Kaplan Apps is a hub for accessing the applications you may need to perform your job.",2015-01-30T20:21:42Z,2019-07-15T17:42:54Z,2019-07-15T17:42:56Z,86
appserver_config,"Config files for Data Science App Servers (Beast, Cloudbeast, etc.)",2016-07-21T20:30:08Z,2021-01-04T14:41:19Z,2021-01-04T14:41:21Z,297
Arrivals,"Control Tower dashboard for class consolidation team",2011-10-03T20:28:13Z,2020-06-16T18:37:41Z,2020-06-16T18:37:43Z,1111
atom-access,"Atom Access Management",2019-09-25T15:17:37Z,2020-11-03T16:47:16Z,2020-10-26T15:50:08Z,16
atom-access-control,"Access control server for atom",2018-11-12T19:22:02Z,2018-11-12T19:22:03Z,2018-11-12T19:22:05Z,1
atom-access-management-js,"null",2019-06-18T21:19:26Z,2019-06-18T21:19:38Z,2019-06-18T21:19:29Z,1
atom-act-lambda-sequence,"null",2020-04-30T16:42:34Z,2020-06-22T17:57:07Z,2020-06-18T14:46:03Z,19
atom-activity-load-generator,"Generate some load tests for Atom.Activity.Worker",2016-08-11T19:49:41Z,2016-08-22T16:43:25Z,2018-11-19T17:00:23Z,8
atom-admin-api,"null",2020-08-20T02:17:00Z,2021-01-12T15:26:57Z,2021-01-07T04:09:10Z,1
atom-admin-user-lambda,"Lambda function to listen to Admin stream and update First Name and Last Name in Reporting MongoDB",2020-08-26T16:24:22Z,2020-08-26T16:24:24Z,2020-08-26T16:24:27Z,1
atom-angular-add-event,"Atom Angular 1.x Add event reusable component",2016-08-09T14:45:31Z,2017-09-22T17:04:19Z,2016-08-29T17:28:08Z,57
atom-angular-analytics,"Angular Analytics Reusable service",2016-08-09T21:16:10Z,2016-09-28T15:45:15Z,2016-08-10T21:01:56Z,21
atom-api-external-sso,"null",2020-12-15T17:03:19Z,2021-01-13T14:13:13Z,2021-01-12T07:31:59Z,0
Atom-Api-Pipeline-Utils,"Utils for pipeline ",2020-06-19T23:02:05Z,2020-07-28T15:51:08Z,2020-07-28T15:51:07Z,2
atom-apollo-nursing-prod-automation," Automation scripts related to scheduling, kaptest login, take test and validations",2019-07-25T17:16:33Z,2019-07-25T19:15:08Z,2019-07-25T19:15:12Z,9
atom-apollo-nursing-qa-automation,"Automation for scheduling test, kaptest login , test mode and review page",2019-07-25T19:52:47Z,2019-10-08T19:43:53Z,2019-10-08T19:43:55Z,215
atom-architecture,"null",2017-09-12T19:22:04Z,2017-09-13T16:19:30Z,2017-09-12T19:22:04Z,6
atom-assessment-configuration,"null",2017-08-01T21:26:43Z,2017-10-25T18:29:40Z,2017-08-07T14:36:33Z,46
atom-auth,"Atom authentication library",2018-09-27T17:13:05Z,2020-12-11T16:40:16Z,2020-09-02T14:48:13Z,15
atom-auth-api,"null",2019-04-02T14:40:44Z,2021-01-06T21:44:43Z,2021-01-06T19:57:39Z,1
atom-authoring,"Atom Authoring",2018-07-19T03:15:20Z,2020-07-16T15:31:07Z,2019-10-29T17:50:10Z,9
atom-authoring-backstage,"Atom Authoring Backstage",2020-06-11T16:13:22Z,2020-06-11T21:47:08Z,2020-10-26T14:08:23Z,9
atom-authoring-bulk-lambda,"Atom authoring bulk action lambda",2019-08-16T13:47:44Z,2019-08-23T19:31:37Z,2019-08-16T13:47:47Z,1
atom-authoring-garage,"An authoring service for performing and running quick or long processing tasks.",2020-06-16T13:35:18Z,2020-11-03T15:03:46Z,2020-07-24T18:23:38Z,17
atom-authoring-legacy,"Atom Authoring Legacy",2019-10-04T20:57:25Z,2020-10-28T14:48:04Z,2020-10-28T14:45:31Z,31
atom-authoring-schema,"Atom Authoring Schema",2020-01-05T23:40:57Z,2021-01-12T15:35:08Z,2021-01-12T15:27:18Z,37
atom-authoring-search,"Atom Authoring Search",2020-04-26T23:24:16Z,2020-10-26T18:45:18Z,2020-10-26T18:41:25Z,17
atom-authoring-validation,"Atom Authoring Validation",2019-11-06T00:23:52Z,2021-01-12T15:55:04Z,2021-01-12T15:55:06Z,85
atom-backstage,"General-purpose web UI for the Atom Platform",2018-04-01T23:58:39Z,2018-08-23T15:00:34Z,2018-04-23T19:28:39Z,6
atom-bar-gateway,"An nginx reverse proxy gateway for pmbronline.com",2020-01-15T18:54:53Z,2020-11-10T10:49:23Z,2020-07-11T02:31:22Z,38
atom-cognito-triggers,"Repository for the cognito triggers for the atom platform",2018-12-07T18:38:57Z,2020-12-21T14:08:11Z,2020-12-21T14:08:15Z,0
atom-content-delivery,"Content Delivery API",2020-08-06T00:32:46Z,2020-11-06T10:08:58Z,2020-10-29T06:54:10Z,23
atom-content-lambda,"Content hydrator lambda to feed Atom Publisher published content to firehose/redshift",2017-10-17T13:45:04Z,2019-12-04T16:53:01Z,2019-12-04T16:53:00Z,1
atom-content-reporting,"This repository contains Lambda and workers to help processing sequences content into reporting data stores",2020-12-17T15:20:59Z,2021-01-12T22:17:21Z,2021-01-11T21:21:16Z,7
atom-course-lambda,"null",2019-03-20T15:23:47Z,2019-03-22T14:13:55Z,2019-03-20T15:23:49Z,1
atom-debugging,"null",2018-11-12T20:26:49Z,2018-12-07T18:16:44Z,2018-12-07T18:16:45Z,5
atom-decision-record,"Atom Decision Record",2019-07-26T20:29:01Z,2019-12-14T00:19:13Z,2019-09-17T14:50:58Z,25
atom-dev-util,"null",2019-05-13T13:50:35Z,2019-06-13T17:42:43Z,2019-06-13T17:42:29Z,1
atom-experience,"null",2020-01-13T11:09:24Z,2020-01-13T11:09:25Z,2020-01-13T11:09:24Z,0
atom-exposure-api,"Tracks user exposures to questions or content that can be interacted with",2017-07-07T18:56:05Z,2020-12-10T23:50:52Z,2020-12-10T05:37:37Z,112
atom-go,"Go library for the Atom API",2018-09-04T17:48:30Z,2020-08-04T17:41:20Z,2020-08-04T17:35:12Z,246
atom-go-e2e,"Go library for the Atom API (E2E)",2019-05-22T17:10:03Z,2019-05-22T17:15:09Z,2019-05-22T17:15:18Z,1
atom-harmony-v3-prototype,"null",2019-12-11T16:14:21Z,2020-12-12T03:22:48Z,2019-12-12T19:03:24Z,3
atom-hifz-api,"Kaplan memorization API based on spaced repetition algorithms.",2019-10-21T00:32:49Z,2020-12-11T23:30:42Z,2020-08-10T18:02:51Z,0
atom-identity-api,"null",2018-10-08T19:13:52Z,2020-12-10T23:50:51Z,2020-10-30T18:03:47Z,0
atom-itemselection,"Atom Item Selection (Go)",2020-02-22T04:01:12Z,2020-10-26T18:38:30Z,2020-10-26T17:04:16Z,39
atom-jenkins-templates,"null",2019-07-23T16:04:13Z,2021-01-13T13:58:27Z,2021-01-13T13:58:25Z,44
atom-kinesis-producer,"null",2017-08-30T19:44:02Z,2020-12-09T21:44:41Z,2020-02-10T21:03:22Z,19
atom-konga-config,"GUI to manage the Kong Admin API",2019-06-10T14:05:45Z,2021-01-12T20:12:40Z,2021-01-05T21:04:54Z,114
atom-ktp-gateway,"null",2020-03-23T14:49:44Z,2021-01-05T09:43:54Z,2020-11-30T15:39:12Z,84
atom-lambda,"lambda for generating merged yamls/json",2017-01-13T21:49:54Z,2017-02-03T17:07:38Z,2017-01-13T21:50:54Z,33
atom-lawhub-integration,"null",2021-01-11T20:58:31Z,2021-01-11T20:58:34Z,2021-01-11T20:58:36Z,0
atom-learn-graphQL,"Learn graphQL stitching layer",2019-06-06T21:57:18Z,2020-12-16T17:22:05Z,2020-11-19T15:12:36Z,1
atom-learning-path-api,"API for student + author learning path.. NodeJs, Typescript",2018-10-31T16:19:28Z,2018-11-06T16:13:57Z,2020-01-30T18:54:51Z,1
atom-licensure-nursingprod-automation,"maintains smoke tests to run in production",2019-04-17T17:09:02Z,2019-07-25T17:27:28Z,2019-07-25T17:27:30Z,10
atom-licensure-testui-automation,"Licensure Test UI Automation",2018-08-28T12:43:19Z,2020-05-18T06:14:59Z,2020-05-18T06:15:02Z,221
atom-lightning-bolt,"Blazing fast test runner",2016-04-26T20:49:59Z,2017-10-12T16:15:57Z,2016-05-18T15:56:46Z,64
atom-maestro-nit-lambda,"maestro lambda to notify nit for any changes to sequence-recipe",2018-03-09T04:21:31Z,2019-03-29T17:30:44Z,2019-03-29T15:58:14Z,1
atom-monitoring,"Lambdas and Apps for Monitoring / Alerting on Atom Platform",2019-03-28T13:40:22Z,2020-10-21T18:55:53Z,2020-09-17T20:23:49Z,125
atom-multi-tenant-deployment,"null",2019-06-19T15:33:13Z,2019-08-14T22:01:42Z,2019-08-02T22:01:14Z,0
atom-nav,"Atom Navigation components across Maestro, Learner and Apollo",2019-09-05T19:31:16Z,2020-12-22T16:15:02Z,2020-12-22T16:15:00Z,89
atom-node-api-health,"Shared logic for health checks in Atom Node API projects.",2016-01-20T15:57:16Z,2020-12-11T00:46:03Z,2020-03-04T21:44:24Z,56
atom-node-devhelper,"null",2017-02-28T21:37:06Z,2017-12-15T20:44:47Z,2017-02-28T21:39:58Z,9
atom-node-express,"Middleware and utils for atom express apps",2017-03-27T18:46:57Z,2018-07-27T13:53:48Z,2018-07-27T13:53:32Z,23
atom-node-restify,"Custom modules for use with Kaplan Atom Node APIs that utilize Restify",2016-02-15T15:58:42Z,2020-11-09T22:38:02Z,2020-08-27T19:48:00Z,156
atom-node-scoring,"Library for item and sequence-level scoring in Atom",2019-10-10T04:51:21Z,2020-07-19T08:10:06Z,2020-01-17T15:52:06Z,2
atom-node-userprofile,"null",2017-03-14T15:02:10Z,2017-04-04T17:25:28Z,2017-03-17T15:38:20Z,7
atom-octave-api,"An orchestration service to help interact with Atom APIs such as Harmony and Content.",2018-05-14T14:21:14Z,2020-12-10T23:50:52Z,2019-11-26T13:25:58Z,1
atom-opera-house,"null",2017-10-02T19:17:38Z,2018-02-02T16:50:44Z,2018-02-02T16:50:42Z,3
atom-orchestra-reporting,"This repo contains a collection of libs and services to help processing taxonomies, norms, and sequences titles for reporting.",2020-11-20T13:58:53Z,2021-01-06T22:41:26Z,2021-01-06T22:41:24Z,30
atom-paas-prototype,"Kaplan atom platform As service prototype",2018-04-19T17:31:48Z,2021-01-05T04:45:09Z,2019-07-30T14:00:17Z,28
atom-performancetests,"Performance/load test scripts (JMeter, Taurus) for Atom components",2016-12-21T21:40:32Z,2020-11-17T08:49:56Z,2020-11-17T08:49:58Z,586
atom-pipeline-generator,"null",2018-01-16T18:48:31Z,2018-02-06T21:58:27Z,2018-11-28T22:34:25Z,7
atom-platform-tests,"Atom platform level test automation",2019-08-30T18:18:28Z,2021-01-08T06:39:28Z,2021-01-08T06:39:31Z,0
atom-product-switch-api,"null",2020-10-13T14:35:38Z,2020-10-15T14:27:02Z,2020-10-13T14:35:43Z,0
atom-qbuilder-api,"Atom qbuilder api based on Nest.Js framework",2020-02-03T02:00:57Z,2020-07-03T04:47:36Z,2020-07-02T05:26:12Z,25
atom-question-types,"@atom/question-types",2018-08-26T20:18:09Z,2018-11-06T15:23:29Z,2018-10-18T15:20:21Z,2
atom-rbac-sample,"null",2018-12-13T21:56:11Z,2018-12-18T14:58:35Z,2018-12-18T14:58:37Z,7
atom-registration-api,"null",2019-10-11T20:24:28Z,2020-11-18T18:10:26Z,2020-10-30T20:16:18Z,1
atom-s3-kinesis-lambda,"lambda for retrying pushes to kinesis from s3",2017-11-03T14:41:53Z,2017-11-14T14:18:46Z,2017-11-06T19:35:32Z,2
atom-sequence-api,"null",2020-02-10T16:05:32Z,2020-07-20T18:09:42Z,2020-07-20T18:02:21Z,0
atom-studentperformance,"null",2017-02-22T16:13:54Z,2021-01-11T20:48:33Z,2020-12-02T22:06:45Z,878
atom-studyplan-hooks,"Git hooks for StudyPlan authoring",2016-04-12T15:16:05Z,2016-07-13T20:27:26Z,2016-04-21T16:08:41Z,28
atom-symphony-api,"Web BFF for assessment",2019-01-15T15:38:27Z,2020-12-16T16:47:16Z,2020-12-15T09:09:10Z,176
atom-tenant-api,"null",2018-09-06T21:16:52Z,2020-12-10T23:50:54Z,2020-11-24T15:12:09Z,0
atom-tooling-conman,"null",2017-02-07T18:24:14Z,2017-02-07T20:06:53Z,2017-02-07T20:06:52Z,3
atom-tooling-maestro,"Content Authoring Tool",2016-11-14T18:30:46Z,2018-03-22T18:38:29Z,2018-11-19T17:01:07Z,4
atom-tooling-migrator,"Atom Tooling Migrator",2017-06-02T05:18:06Z,2020-07-16T22:17:16Z,2020-07-16T22:17:18Z,308
atom-tooling-publisher,"Atom Tooling Publisher",2017-07-24T05:08:50Z,2021-01-12T16:22:45Z,2021-01-12T16:22:46Z,544
atom-tooling-search,"Search API for Atom Tooling",2017-05-10T20:23:27Z,2020-12-10T23:50:50Z,2020-08-25T17:45:50Z,1
atom-tooling-searchfeeder,"DEPRECATED",2017-03-22T13:45:53Z,2020-09-24T17:25:18Z,2021-01-05T19:56:32Z,40
atom-tooling-versioning,"Atom Content Versioning API",2017-05-11T13:56:58Z,2020-08-11T19:19:09Z,2020-08-11T19:19:53Z,2
atom-web,"Repository for all angular project using nrwl architecture",2018-01-29T19:44:19Z,2021-01-13T14:43:42Z,2021-01-13T14:24:00Z,1009
atom-web-accessibility,"null",2017-11-08T20:34:15Z,2018-08-23T14:12:12Z,2018-08-23T14:12:03Z,62
atom-web-assignment,"A front end application for taking assignments (videos, etc)",2018-05-08T13:01:09Z,2020-09-09T14:34:00Z,2020-09-09T14:34:03Z,0
atom-web-builder-images,"null",2018-05-24T16:30:15Z,2020-10-30T17:55:10Z,2020-04-29T22:17:31Z,15
atom-web-dashboard,"Dashboard microsite - nodejs + angular2 + protractor",2016-09-22T19:45:53Z,2020-10-05T20:55:43Z,2020-11-14T15:31:45Z,1612
Name,Description,CreatedAt,PushedAt,UpdatedAt,CommitCount
atom-web-educator,"Platform OOTB React Reports with Admin API and Access Management",2020-04-02T18:52:09Z,2021-01-13T14:34:49Z,2021-01-13T14:32:42Z,2275
atom-web-environment,"Angular application for Environment microsite",2018-12-07T23:29:05Z,2018-12-07T23:33:02Z,2018-12-07T23:36:12Z,2
atom-web-higgs,"Atom UI Library - Higgs",2017-10-24T17:30:57Z,2019-08-15T18:03:14Z,2018-10-10T19:09:56Z,292
atom-web-higgs-styles,"Global styles",2017-10-17T14:40:51Z,2017-10-17T21:01:39Z,2017-10-17T20:30:48Z,2
atom-web-identity,"Identity microsite for the atom platform",2018-10-03T20:36:08Z,2020-03-27T20:42:00Z,2019-03-05T18:10:22Z,2
atom-web-kape,"KAPE defines the milestones for delivery",2017-06-09T15:08:44Z,2017-07-17T13:41:45Z,2017-06-12T22:12:35Z,1
atom-web-regression,"null",2019-03-25T15:36:47Z,2019-03-25T16:20:56Z,2019-03-25T15:36:50Z,1
atom-web-reverse-proxy,"Reverse proxy for atom microsites",2018-12-11T19:37:07Z,2021-01-13T08:12:09Z,2020-11-25T18:12:23Z,1
atom-web-studentreporting,"Overall student performance Angular7 + NodeJS",2017-06-28T20:19:24Z,2020-06-10T13:36:16Z,2020-06-10T13:36:14Z,678
atom-web-testui,"Atom Test UI",2017-02-28T14:46:26Z,2020-11-18T18:38:48Z,2020-06-10T14:54:17Z,884
atom-webhooks,"null",2020-08-03T16:12:58Z,2020-08-24T14:37:05Z,2020-08-24T14:37:07Z,0
Atom.A4S.iOS,"Atom platform app for students",2019-02-14T15:44:23Z,2019-10-25T18:06:26Z,2020-10-27T17:49:40Z,8
Atom.Activity.Net,".Net Client for the Atom Activity API",2016-03-03T16:09:30Z,2018-04-05T14:38:02Z,2018-11-19T17:03:53Z,34
Atom.Activity.Statements,"Libraries for building activity statements",2016-06-01T20:24:18Z,2016-06-01T20:24:18Z,2018-11-19T17:04:11Z,1
Atom.Activity.Worker,"null",2016-04-12T15:13:07Z,2016-08-11T15:59:10Z,2018-11-19T17:04:18Z,77
Atom.ActivityClient.Api,"null",2016-06-15T21:17:21Z,2017-02-01T16:00:07Z,2018-11-19T17:04:25Z,11
Atom.Api.Gateway,"api gateway and configuration. uses kong (non platform)",2016-07-13T17:18:57Z,2020-10-30T20:14:36Z,2020-08-27T19:10:06Z,0
Atom.Api.Pipeline,"Atom Api Infrastructure and build pipeline configuration",2016-07-19T19:45:37Z,2021-01-13T14:44:44Z,2021-01-12T17:51:59Z,3310
Atom.Api.TestSuites,"null",2016-04-06T20:19:01Z,2018-02-19T15:17:16Z,2016-05-17T15:49:48Z,140
Atom.Auth.iOS,"Atom platform authentication for mobile",2019-05-17T13:22:17Z,2019-09-25T19:48:05Z,2019-09-25T19:46:58Z,80
Atom.Authorization,"Atom Institutional Enrollments Web and API Component Project",2014-10-29T03:26:08Z,2018-08-30T21:13:27Z,2018-08-30T21:13:28Z,155
Atom.Caching,"null",2015-01-21T15:16:38Z,2020-11-17T08:52:37Z,2020-08-12T14:01:28Z,29
Atom.Channel.Api,"null",2015-10-30T15:58:12Z,2020-10-07T17:59:19Z,2020-10-07T17:59:09Z,127
Atom.Chewy.Android,"A prep app from Kaplan featuring flashcards, question bank and other resources for GRE students to better prepare to success.",2016-03-21T21:22:29Z,2016-11-21T20:54:48Z,2016-03-21T21:33:16Z,9
Atom.Chewy.iOS,"A prep app from Kaplan featuring flashcards, question bank and other resources for students to better prepare to success.",2016-01-28T18:23:12Z,2016-11-21T21:10:23Z,2016-03-21T21:23:33Z,3
Atom.Content.Api,"null",2016-04-20T20:13:53Z,2020-09-05T21:23:26Z,2020-10-21T16:08:18Z,1
Atom.ContentWeek,"A little bit of PP here, a little bit of PP there, and...tada!",2016-03-23T19:55:28Z,2016-03-29T21:22:08Z,2016-03-24T15:48:45Z,67
Atom.Demo.Encryption,"null",2018-02-22T18:36:26Z,2018-02-22T18:51:22Z,2018-02-22T18:38:52Z,10
Atom.DeveloperPortal,"null",2015-01-21T15:19:30Z,2015-07-28T18:32:37Z,2015-06-18T18:21:38Z,2
Atom.Docker,"docker images",2017-02-22T16:39:00Z,2019-01-04T17:54:54Z,2019-01-04T17:43:03Z,13
atom.documentation,"centralized documentation repo",2018-03-01T16:41:04Z,2020-11-06T13:51:39Z,2020-09-17T20:48:58Z,66
Atom.EssayGrading,"null",2014-05-13T15:22:29Z,2018-04-11T19:54:19Z,2016-01-14T21:21:49Z,198
Atom.EssayGrading.Tests,"null",2015-09-15T15:45:38Z,2015-09-23T21:54:04Z,2015-09-15T18:11:15Z,7
Atom.Flashcards.Demo,"A demonstration of spaced learning implemented on flashcards",2018-05-28T01:13:11Z,2019-10-24T21:07:48Z,2019-10-24T21:07:50Z,36
Atom.Garage,"null",2014-06-09T20:10:11Z,2020-11-23T18:47:07Z,2020-11-23T18:47:10Z,10
Atom.Gateway.Config,"null",2015-03-24T16:19:20Z,2016-10-27T15:01:40Z,2018-11-19T17:06:52Z,37
Atom.Genesis,"Atom Content Management System",2015-02-02T17:35:15Z,2019-01-10T00:44:48Z,2019-01-04T15:22:50Z,525
Atom.Harmony.Api,"ðŸŽ¶ðŸŽµ",2016-08-10T19:48:38Z,2021-01-13T14:52:02Z,2021-01-13T14:48:54Z,509
Atom.Identity,"null",2014-01-27T21:45:36Z,2018-12-27T22:07:51Z,2018-07-02T19:36:10Z,172
Atom.Institutional.Testing,"null",2015-02-16T20:05:36Z,2016-06-22T00:39:31Z,2018-11-19T17:05:46Z,48
Atom.ItemSelection,"null",2016-07-05T20:51:16Z,2020-04-29T17:37:11Z,2020-04-29T17:37:10Z,210
Atom.ItemSelection.Api,"Api for adaptive item selection for assessments",2016-08-25T15:21:29Z,2020-07-16T16:45:06Z,2020-07-16T16:45:06Z,245
Atom.ItemSelection.Lambda,"null",2017-09-18T19:59:10Z,2019-11-18T19:51:43Z,2019-11-18T20:04:48Z,1
Atom.JMeter,"null",2015-02-17T23:52:14Z,2016-01-19T21:37:15Z,2015-02-18T17:48:31Z,16
Atom.jmeter-ec2,"Script for executing load tests in AWS (script will automatically provision JMeter servers)",2015-09-23T00:04:34Z,2016-11-03T19:40:34Z,2018-11-19T17:05:38Z,52
Atom.KapengineClient,"null",2016-09-19T20:02:25Z,2020-05-18T18:33:23Z,2020-05-18T18:32:54Z,29
Atom.Mobile.Tests.Android,"null",2016-08-25T14:54:51Z,2016-11-29T15:32:33Z,2016-08-31T20:25:21Z,55
Atom.Mobile.Tests.iOS,"null",2016-08-25T14:54:37Z,2017-02-22T15:48:10Z,2016-09-08T18:43:50Z,19
Atom.Mobile.Tests.Spark.Android,"null",2017-02-16T15:15:01Z,2017-10-30T14:50:33Z,2017-04-04T14:10:38Z,34
Atom.Mobile.Tests.Spark.iOS,"null",2017-02-16T15:15:19Z,2018-01-26T21:40:24Z,2017-06-13T20:45:45Z,86
Atom.Pearson.Api,"Pearson API Integration",2016-09-09T16:38:27Z,2020-06-17T01:09:52Z,2020-06-17T01:09:37Z,97
Atom.PearsonClient,"null",2016-09-15T19:51:14Z,2018-04-05T16:37:09Z,2018-04-05T16:37:05Z,50
Atom.ProductConfig.Api,"null",2015-10-30T15:58:51Z,2020-10-07T17:59:17Z,2020-10-07T17:59:17Z,87
