Name,Description,CreatedAt,PushedAt,UpdatedAt,CommitCount
Atom.Prometric.Api,"null",2015-08-19T13:45:00Z,2018-10-30T15:04:34Z,2018-10-30T15:04:25Z,118
Atom.Qbank.Android,"null",2015-10-19T13:40:49Z,2019-06-25T16:12:41Z,2018-03-22T19:44:40Z,559
Atom.Qbank.iOS,"null",2015-10-19T13:39:27Z,2018-10-25T08:02:16Z,2016-01-11T07:37:56Z,1427
Atom.QoD.iOS,"Question of the Day",2019-11-07T19:25:59Z,2020-01-14T22:08:56Z,2019-12-23T07:00:45Z,10
Atom.Recommendations.Tool,"null",2015-01-21T15:14:03Z,2015-01-21T16:30:39Z,2018-11-19T17:10:04Z,2
Atom.Reporting,"null",2013-07-12T15:34:08Z,2021-01-12T21:07:09Z,2021-01-12T21:06:40Z,729
Atom.SDK.CSharp,"null",2015-05-26T14:12:30Z,2015-05-29T21:38:31Z,2015-05-26T17:02:34Z,0
Atom.SimpleNode,"Simple node app for testing performance on hosting environments",2016-10-14T17:40:03Z,2016-11-22T19:08:20Z,2016-10-14T17:43:58Z,24
Atom.Spark.Android,"The Kaplan Mobile Prep app for the Android Platform",2016-12-05T14:09:52Z,2021-01-04T04:39:11Z,2021-01-04T04:39:12Z,203
Atom.Spark.iOS,"ðŸ“±",2016-11-21T21:09:35Z,2020-07-28T04:18:29Z,2019-11-07T19:22:28Z,810
Atom.Spec.iOS,"The Atom CocoaPods Spec",2019-05-20T21:09:28Z,2019-09-25T20:02:12Z,2019-09-25T20:02:14Z,23
Atom.Standards,"null",2015-12-07T16:03:39Z,2018-01-24T14:27:19Z,2018-12-19T14:32:23Z,28
Atom.StudyPlan.Api,"null",2013-07-15T15:26:14Z,2020-11-20T11:40:54Z,2020-09-14T19:33:22Z,1764
Atom.StudyPlan.Author,"null",2014-06-11T21:22:39Z,2020-02-28T19:19:49Z,2018-11-09T17:04:29Z,195
Atom.StudyPlan.GitServer,"null",2014-06-11T21:22:13Z,2016-04-12T13:58:38Z,2014-09-10T22:11:44Z,7
Atom.StudyPlanStatus.Api,"null",2016-04-05T18:29:12Z,2017-03-03T14:43:21Z,2018-11-19T17:10:18Z,1
Atom.Stufferences.Api,"null",2016-04-05T17:05:48Z,2020-12-10T23:50:47Z,2020-07-17T14:26:42Z,48
Atom.Tagging.Api,"lasers pew pew",2016-05-24T18:33:33Z,2020-04-16T09:08:43Z,2020-10-21T16:07:23Z,1
Atom.Testing,"null",2015-01-21T15:16:49Z,2018-11-14T01:10:49Z,2018-11-14T01:10:47Z,8
Atom.Token.Api,"null",2015-07-16T16:16:47Z,2020-12-30T18:26:49Z,2020-05-28T17:37:28Z,158
Atom.Tooling.BrowserExtension,"Import Content from Habitat to Atom",2016-11-22T18:50:08Z,2016-11-28T15:14:24Z,2018-11-19T17:11:00Z,1
Atom.Tooling.GraphQLServer,"GraphQL Server for Atom API, Inkling Habitat, and Jasper",2017-01-03T18:30:25Z,2018-02-13T02:39:22Z,2017-01-10T18:13:23Z,23
Atom.Tooling.Parsers,"null",2017-01-10T22:22:33Z,2021-01-07T22:42:45Z,2017-03-14T16:11:07Z,183
Atom.UserCacheClient,"UserLogin/UserProfile Redis Get/Set",2016-10-11T20:40:48Z,2020-11-18T14:58:24Z,2020-06-17T19:08:55Z,101
Atom.UserPreferences.Client,"Asp.Net Client and Model for UserPreferences API",2016-08-09T21:02:13Z,2020-05-18T18:32:39Z,2020-05-18T18:32:39Z,20
Atom.Utility,"null",2014-01-23T16:31:10Z,2015-02-06T20:36:49Z,2015-02-06T20:36:39Z,154
Atom.VideoPlayer,"The common video player for KTP",2013-11-15T22:08:16Z,2015-08-06T18:54:19Z,2018-12-13T13:59:58Z,141
Atom.Web.Account,"Atom.Web Account related functionality ",2016-04-18T14:30:23Z,2021-01-08T12:28:00Z,2020-07-29T17:12:04Z,7595
Atom.Web.Channel,"Channel microsite",2016-06-14T16:03:11Z,2021-01-08T12:03:03Z,2020-07-29T17:12:11Z,7689
Atom.Web.ChannelClient,"null",2016-06-28T18:40:38Z,2021-01-13T12:37:45Z,2018-05-25T22:22:03Z,7028
Atom.Web.Configuration,"null",2020-11-05T12:39:04Z,2020-11-17T12:03:13Z,2020-11-17T12:03:16Z,0
Atom.Web.Courseware,"null",2016-04-26T17:11:31Z,2020-12-28T03:28:12Z,2020-12-23T14:38:48Z,8120
Atom.Web.DevHelper,"It helps do stuff",2016-08-22T20:41:10Z,2020-11-19T09:27:04Z,2018-04-05T15:22:14Z,33
Atom.Web.Environment,"null",2016-04-26T19:08:57Z,2020-10-15T20:14:20Z,2020-07-29T17:13:44Z,7352
Atom.Web.Framework,"null",2016-10-11T21:43:49Z,2021-01-08T13:05:59Z,2020-06-26T18:07:55Z,98
Atom.Web.Gateway,"null",2016-04-12T18:16:15Z,2020-11-25T05:24:57Z,2020-11-06T06:19:38Z,321
Atom.Web.Grunt.Custom,"null",2016-06-17T15:31:44Z,2016-07-27T17:51:17Z,2016-07-20T15:29:29Z,26
Atom.Web.Labs,"null",2016-07-01T14:52:20Z,2017-01-24T15:21:26Z,2018-11-19T17:11:06Z,126
Atom.Web.Libraries,"null",2016-04-18T14:33:22Z,2021-01-07T14:57:12Z,2020-10-26T18:57:15Z,7258
Atom.Web.Libraries.Core,"null",2020-10-20T06:05:22Z,2020-10-27T09:06:13Z,2020-10-27T09:06:15Z,10
Atom.Web.QaSupport,"null",2016-04-25T15:57:44Z,2016-04-25T20:40:56Z,2016-04-25T16:00:06Z,7084
Atom.Web.Qbank,"null",2016-04-26T19:11:21Z,2020-12-11T01:27:28Z,2020-07-29T17:14:35Z,7711
Atom.Web.Tests,"null",2014-08-14T13:42:41Z,2018-10-22T19:55:18Z,2020-03-12T14:32:59Z,3325
Atom.Web.VideoPlayer,"The repo for VideoPlayer bower component",2016-04-22T20:32:59Z,2020-06-09T09:54:15Z,2020-06-09T06:16:13Z,7182
Atom.WebApi,"null",2015-01-21T15:16:58Z,2020-12-04T14:01:24Z,2020-05-22T14:36:03Z,106
AtomBuildOn,"null",2020-03-30T17:22:49Z,2020-03-30T17:24:56Z,2020-03-30T17:24:59Z,3
atomium-amp,"Account management page based on third party API's ",2020-03-14T00:15:11Z,2020-11-06T13:43:06Z,2020-06-24T05:31:41Z,522
Name,Description,CreatedAt,PushedAt,UpdatedAt,CommitCount
atomium-biodigital-api,"Biodigital wrapper API",2020-06-08T01:28:22Z,2020-07-01T07:25:32Z,2020-07-01T07:25:34Z,0
atomium-hifzredis-producer,"Setup redis cache for the atom-hifz-api",2020-06-19T18:13:12Z,2020-07-17T12:43:26Z,2020-07-17T12:43:28Z,0
atomium-productconfig-api,"Node app to serve product configs",2020-04-08T19:24:29Z,2021-01-07T07:40:36Z,2020-12-10T05:58:43Z,115
atomium-qbank-api,"BFF for Atomium Qbank",2020-03-31T23:45:59Z,2021-01-07T20:38:57Z,2021-01-07T20:38:59Z,0
AuthDemo,"null",2018-09-20T21:11:02Z,2018-09-20T21:12:02Z,2018-09-20T21:12:04Z,2
aws-helper,"some aws helpers in go",2016-08-25T17:39:35Z,2018-03-13T16:00:12Z,2018-03-13T16:00:13Z,21
awssudo,"null",2016-05-04T19:37:54Z,2020-07-16T21:37:43Z,2019-01-07T19:25:29Z,54
Bar-Automation,"null",2020-02-13T05:40:46Z,2020-02-13T05:53:40Z,2020-02-13T05:53:42Z,4
BarAngularPOC,"Bar Angular POC",2020-01-08T04:48:32Z,2020-01-08T09:00:41Z,2020-01-08T09:00:43Z,3
BarReview,"Kaplan Bar Review Code Repository",2014-08-12T18:50:17Z,2020-12-21T09:20:45Z,2020-12-21T09:17:06Z,5582
BarReview.Android,"Repository for Androidâ€‹ App",2014-12-03T23:39:42Z,2020-10-27T10:06:33Z,2020-07-21T07:30:11Z,1735
BarReview.Database,"Kaplan Bar Review Database Repository",2014-08-12T18:51:00Z,2020-12-15T10:52:04Z,2020-02-20T18:05:55Z,1702
BarReview.iOS,"Repository for iOS App",2014-12-03T23:39:26Z,2020-06-19T06:33:20Z,2020-02-20T18:15:27Z,3
BarReview.RepPortal,"Rep Portal for Bar Review Representatives",2016-07-15T15:34:16Z,2020-10-28T15:36:54Z,2020-10-28T15:36:56Z,100
BarReview.RepPortal.Database,"null",2016-07-15T16:14:32Z,2017-07-11T16:19:11Z,2017-06-09T06:29:11Z,23
behavioral-emails,"utilities to send student information to marketing cloud",2019-09-12T00:55:34Z,2020-07-23T18:46:51Z,2020-07-23T18:46:54Z,70
BI.Reporting,"null",2016-10-20T19:32:52Z,2018-04-10T16:25:04Z,2018-04-10T16:25:13Z,6
BI.Reporting.SSRS,"null",2018-09-07T18:54:21Z,2020-12-04T04:56:59Z,2020-12-04T04:57:02Z,199
Bi.Reporting2,"null",2018-05-07T19:22:44Z,2018-05-07T19:22:45Z,2018-05-07T19:22:44Z,0
BI.SnapLogic,"null",2016-08-11T20:15:12Z,2020-10-01T15:19:50Z,2020-10-01T15:19:52Z,4
BizSys.accountability,"Accountability - Api to create or update student accountability information. (School, Company, Relationship, PmbrReps)",2018-08-03T14:28:32Z,2020-06-08T20:02:38Z,2020-02-20T19:46:10Z,57
BizSys.caching-security,"Inspired by IN.caching-security",2018-09-25T14:26:42Z,2019-08-19T19:15:31Z,2019-08-19T19:15:33Z,14
BizSys.chronos,"Chronos - Salesforce to KBS Integration - A microserivce that takes xml generated by salesforce and breaks it out into small pieces, converting it to json and calling the appropriate microservice",2017-11-02T18:56:07Z,2020-06-01T21:32:49Z,2020-03-02T18:02:41Z,126
BizSys.contact-info,"ContactInfo - Api to create or update student contact information. (Address, Email, Phone, Exclusion)",2018-07-17T16:31:48Z,2020-06-08T19:47:37Z,2020-02-20T19:46:12Z,91
BizSys.KBS,"KBS Application",2016-06-16T15:57:02Z,2020-10-20T16:50:44Z,2020-10-20T16:36:18Z,174
BizSys.kbs-product-catalog,"null",2019-08-21T18:27:51Z,2019-08-26T13:51:28Z,2019-08-21T18:44:43Z,2
BizSys.Modules,"null",2017-10-06T15:04:17Z,2020-07-31T16:48:18Z,2020-07-31T16:48:22Z,203
BizSys.mri-dashboard,"MRI dashboard",2015-02-11T21:37:16Z,2020-08-10T15:26:12Z,2020-08-10T15:25:41Z,469
BizSys.mri-server,"null",2020-10-27T22:42:27Z,2020-10-27T22:42:29Z,2020-10-27T22:42:31Z,0
BizSys.OneLogin,"null",2019-08-21T18:26:44Z,2019-08-21T18:26:45Z,2019-08-21T18:26:44Z,0
BizSys.order,"null",2018-09-25T14:25:00Z,2020-05-12T15:48:14Z,2019-03-29T15:05:16Z,1
BizSys.product-catalog,"Product Catalog Management - An application to manage the KBS product catalog",2017-03-21T16:12:14Z,2020-06-10T18:44:58Z,2020-06-10T18:23:56Z,412
BizSys.purchase,"Microservice that will allow a client to interact with Enrollment entity.",2018-06-04T16:37:40Z,2020-12-15T15:56:09Z,2020-12-15T15:55:37Z,188
BizSys.Revere,"Revere repository",2016-06-16T15:55:01Z,2019-05-16T20:18:32Z,2018-11-14T15:04:17Z,10
BizSys.student,"Student - Api to create or update student information. (Person, Lead, Interest, Interaction, Misc Info, and PMBR Reps)",2018-07-17T16:29:54Z,2020-06-19T18:58:14Z,2020-06-19T18:57:42Z,136
bjorne,"null",2013-12-02T16:49:54Z,2020-03-07T08:17:36Z,2020-03-07T08:17:42Z,290
boat,"null",2020-03-22T22:00:00Z,2020-07-08T09:19:41Z,2020-07-08T07:09:01Z,74
bootcamp-second-screen,"null",2019-04-24T21:04:55Z,2019-05-15T19:39:09Z,2019-05-15T19:39:11Z,5
businessanalytics,"businessanalytics",2010-02-23T17:04:35Z,2020-09-17T15:33:00Z,2020-11-05T18:59:33Z,650
CES,"Classical (Test Theory) Equating System",2020-01-30T14:31:23Z,2020-01-30T14:45:54Z,2020-01-30T14:45:57Z,3
cloudops-helm,"null",2020-10-30T20:38:28Z,2020-12-14T18:06:53Z,2020-12-14T18:06:55Z,0
cloudops-onelogin,"null",2018-10-25T01:44:20Z,2020-09-22T22:30:52Z,2020-09-22T22:30:54Z,64
cloudops-tools,"null",2020-06-27T00:56:09Z,2020-12-07T20:10:34Z,2020-12-07T20:10:37Z,26
Cobalt,"Repository for the existing KapSites codebase",2014-03-04T17:27:12Z,2020-03-11T01:39:38Z,2020-03-11T01:39:40Z,1555
CognitoDemo,"null",2018-10-01T11:07:15Z,2018-10-01T16:36:39Z,2018-10-01T16:36:40Z,4
common_utils,"null",2020-03-06T03:00:45Z,2020-05-05T23:47:55Z,2020-05-05T23:47:58Z,18
content-item-generation-tools,"Collection of scripts and tools for helping content item authors create items",2019-05-07T18:10:33Z,2019-05-07T18:10:35Z,2019-05-07T18:10:36Z,1
Control-Room,"Control Room connects you to everything you want to know about the KTP Apps.",2013-04-29T20:16:59Z,2020-10-22T20:14:07Z,2020-10-22T20:14:09Z,270
core-functions,"null",2016-12-27T05:45:43Z,2017-03-20T16:07:46Z,2017-07-18T15:33:05Z,6
CS.doge,"Shipment and School micro service",2017-07-31T16:11:13Z,2020-12-10T14:49:15Z,2020-09-02T19:28:43Z,222
CS.KE3-lite,"Lightweight version of KapEngine which will server a handful of use cases: <list them here>",2020-04-08T15:36:44Z,2020-06-15T13:34:29Z,2020-06-15T13:34:31Z,43
CS.KE4-GraphQL.Schema-Stitching,"KE4 GraphQL server which uses schema stitching approach to expose multiple REST APIs through one single entry point",2018-09-21T22:08:50Z,2021-01-05T07:37:34Z,2020-08-26T16:07:56Z,417
CS.KE4-GraphQL.v1,"GraphQL Engine for KE4 v1. Current project is located in: https://github.com/KaplanTestPrep/CS.KE4-GraphQL.Schema-Stitching",2017-06-22T16:30:33Z,2019-01-17T21:23:40Z,2019-01-25T22:47:20Z,351
CS.ktp-class,"GraphQL Service for operational class data",2019-03-21T15:00:36Z,2020-12-02T17:30:27Z,2020-12-02T17:30:30Z,282
CS.LoadTesting,"Store Load testing scripts such as JMeter",2017-04-24T20:53:47Z,2017-05-17T20:48:25Z,2017-05-17T19:30:30Z,6
CS.Modules,"null",2015-07-29T20:53:18Z,2020-12-02T21:44:13Z,2020-12-02T21:44:16Z,450
CS.monero,"Account and Enrollment Microservice",2017-11-08T15:01:15Z,2021-01-12T22:15:05Z,2020-12-08T19:27:36Z,243
CS.ripple,"Catalog Real Time Microservice.",2017-07-31T16:14:38Z,2020-12-17T16:42:08Z,2020-07-09T13:46:27Z,318
CS.SSO,"SSO solution using PingFederate + Docker",2017-06-06T14:09:42Z,2020-01-30T16:03:24Z,2019-08-09T16:56:58Z,30
CS.tesla,"Tesla - Manage Enrollment Session Microservice - Allows users to find & manage Makeup sessions for classes and events",2017-12-19T22:08:17Z,2019-01-10T20:05:39Z,2019-01-10T20:05:41Z,254
DAPS,"null",2015-07-24T19:22:02Z,2020-12-02T18:27:31Z,2020-12-02T18:27:34Z,47
DataEngineering,"null",2016-12-12T18:12:36Z,2020-08-25T16:32:58Z,2020-11-11T18:27:54Z,228
DataScience_Team_Notes,"null",2018-12-18T23:47:40Z,2019-01-04T21:56:41Z,2020-03-06T21:44:43Z,15
Departures,"Class Creation Tool",2012-05-17T18:29:32Z,2020-10-27T14:27:57Z,2020-10-27T14:28:00Z,2201
departures-frontend,"null",2017-02-28T20:50:46Z,2017-03-14T22:37:57Z,2017-03-14T22:38:01Z,13
digitalmedia,"Digital Media",2018-10-23T20:11:37Z,2020-10-15T23:22:38Z,2020-10-15T23:22:41Z,118
digitalmedia.webvtt-plugin,"null",2019-03-25T04:47:46Z,2019-05-28T19:45:50Z,2019-03-25T04:51:10Z,1
DigitalMedia.YamlGenerator,"null",2019-03-26T16:01:24Z,2019-08-23T17:45:07Z,2019-08-23T17:45:09Z,3
discourse_docker,"null",2018-09-19T15:14:18Z,2018-09-20T17:52:54Z,2018-09-20T17:52:56Z,1037
dm-transcription,"null",2017-05-09T17:26:34Z,2017-07-26T19:37:32Z,2017-05-09T18:27:03Z,209
dmdash,"Digital Media Toolbox",2019-11-21T21:43:19Z,2020-08-13T20:11:52Z,2020-08-24T16:42:02Z,307
DMTools,"null",2020-08-24T16:44:18Z,2020-09-17T19:58:10Z,2020-09-17T19:58:13Z,331
dmut,"Digital Media Upload Tool",2018-07-16T15:45:57Z,2019-07-01T16:11:16Z,2019-07-01T16:11:18Z,16
dmwiki,"null",2018-02-06T19:55:15Z,2019-02-20T23:55:05Z,2019-02-20T23:55:07Z,491
docker-atomapi-base,"base docker image for atom api team's node projects",2016-03-17T19:04:48Z,2020-07-09T20:59:26Z,2020-07-09T21:00:39Z,57
docker-multicontainer-config,"Configuration files for Multicontainer Docker Environments in Elastic Beanstalk",2015-10-23T14:38:26Z,2017-02-21T02:12:46Z,2016-01-11T18:02:55Z,149
docker-teamcity-agent,"null",2016-03-03T15:44:49Z,2017-06-15T13:32:27Z,2016-03-03T18:34:00Z,30
ds-web-scrape,"web scraping efforts from the data science team",2019-04-03T18:24:30Z,2019-08-26T23:35:00Z,2020-03-06T21:44:40Z,32
dstack-testing,"testing!",2017-07-27T18:25:42Z,2017-07-27T18:39:00Z,2017-07-27T18:25:58Z,2
ds_psychometrics_cleaning,"This is a repository for psychometric + score analysis at KTP.",2016-04-09T21:00:47Z,2019-04-26T19:35:55Z,2019-04-26T19:35:59Z,53
ds_psychometric_cleaning,"null",2019-04-16T15:39:28Z,2019-04-16T15:42:55Z,2019-04-26T19:36:49Z,1
engagement-tracker,"Digital Media Postgres Engagement Tracker for RRL and ACT",2018-10-23T22:49:40Z,2019-06-26T20:36:17Z,2019-06-26T20:36:19Z,12
etel,"mediawiki for etel",2018-05-08T19:35:13Z,2018-05-08T19:35:14Z,2018-05-08T19:35:13Z,0
example-application-pipeline,"Must be on VPN to access the website",2016-06-23T16:51:38Z,2016-10-03T17:35:58Z,2016-06-24T19:05:59Z,20
example-ruby-codebuild,"null",2016-08-17T10:35:26Z,2016-08-17T10:42:10Z,2016-08-17T10:42:11Z,1
example-yeeha-pipeline,"Pipeline deployment of the example application "Yeeha" ",2016-06-28T21:42:56Z,2016-10-26T16:24:48Z,2016-06-28T21:43:23Z,0
example-yeeha-portal,"Portal UI microservice of the example application "Yeeha" ",2016-06-28T21:49:32Z,2016-10-26T16:08:25Z,2016-06-28T21:51:00Z,13
example-yeeha-stockprice,"Stockprice microservice of the example application "Yeeha" ",2016-06-28T09:31:34Z,2016-10-26T16:06:12Z,2016-06-28T09:32:44Z,19
example-yeeha-weather,"Weather microservice of the example application "Yeeha" ",2016-06-28T10:05:59Z,2016-10-26T16:08:03Z,2016-06-28T10:06:35Z,79
FTNS,"Kaplan Test Prep field test N-count screening system",2019-04-30T00:40:15Z,2020-01-30T14:47:10Z,2020-01-30T14:47:13Z,6
generator-atom-node-api,"null",2015-11-03T20:00:05Z,2019-01-15T19:38:34Z,2019-05-17T18:03:16Z,231
gitbox,"null",2017-04-28T19:12:42Z,2017-04-28T19:12:43Z,2017-04-28T19:12:42Z,0
Goldmine,"Kaptest class, tutoring, observation, student management app ",2010-07-28T17:39:43Z,2021-01-12T21:22:21Z,2021-01-12T21:22:24Z,5883
Grad.Jasper,"null",2013-09-24T20:13:49Z,2020-12-28T12:00:31Z,2020-12-17T12:24:40Z,13164
graphql-packages,"KTP graphql packages, including apollo-server, stitching remote schemas, reporting and more",2019-02-27T18:16:08Z,2019-05-24T20:40:22Z,2019-05-24T20:40:24Z,43
gulp-tag-copy-move,"A gulp stream to tag a repository, and copy the files into a versioned directory using the package.json as number source",2016-11-04T11:57:52Z,2016-11-10T15:16:52Z,2016-11-04T12:14:56Z,16
habitat-import,"null",2017-07-31T18:22:10Z,2017-07-31T19:34:17Z,2017-07-31T18:54:57Z,9
hapyak-custom-css,"null",2019-01-25T18:27:21Z,2020-05-20T20:41:40Z,2020-05-20T20:41:43Z,18
i-human.automation,"null",2018-07-23T17:57:06Z,2018-07-26T22:37:46Z,2018-07-26T22:37:47Z,44
i-human.cases-xml,"i-Human Patients - Xml",2018-03-09T19:19:29Z,2021-01-12T01:14:17Z,2021-01-12T01:14:19Z,145
Name,Description,CreatedAt,PushedAt,UpdatedAt,CommitCount
i-human.emr,"i-Human Patients - Lemr",2018-03-09T19:17:04Z,2018-09-12T21:38:05Z,2018-03-09T19:50:59Z,79
i-human.icarus,"Icarus",2018-03-08T19:58:51Z,2018-03-09T19:44:42Z,2018-03-09T19:44:44Z,16
i-human.ih2,"I-Human Patients - Ih2",2018-03-08T20:06:35Z,2021-01-13T06:45:30Z,2018-10-18T22:54:00Z,7441
i-human.lemr-docker,"i-Human Patients - Lemr docker",2018-03-09T19:17:41Z,2018-03-09T19:50:24Z,2018-03-09T19:50:27Z,17
i-human.lessons,"null",2018-03-08T18:33:56Z,2018-03-08T18:53:58Z,2018-03-08T18:54:02Z,336
i-human.lessons-ui,"i-Human Patients - Lesson V2 ui",2018-03-09T19:33:11Z,2018-03-09T19:45:16Z,2018-03-09T19:45:28Z,141
i-human.maintenance,"i-Human Patients - Maintenance site",2018-03-09T19:20:13Z,2018-10-01T20:06:58Z,2018-10-01T20:06:59Z,24
i-human.MedicalImageViewer,"i-Human Patients - Medical Image Viewer",2018-03-08T22:59:28Z,2018-03-09T19:48:22Z,2018-03-09T19:48:34Z,198
i-human.Nine,"I-Human Patients - Player/Authoring/Tools V2",2018-03-08T20:05:48Z,2021-01-13T05:19:30Z,2018-10-18T22:52:53Z,11005
i-human.p3,"i-Human Patients Player V3",2018-03-08T19:48:50Z,2021-01-13T05:19:33Z,2018-10-18T22:55:56Z,1187
i-human.php-reports,"A PHP framework for displaying reports from any data source, including SQL and MongoDB",2018-05-10T17:13:02Z,2020-09-21T16:30:21Z,2020-09-21T16:30:25Z,329
i-human.reporter-ui,"i-Human Patients - React-bsed Individual Report UI",2018-03-08T20:03:59Z,2021-01-13T05:17:35Z,2018-09-20T19:08:37Z,679
i-human.reporter-ui-group,"I-Human Patients - Group report UI",2018-03-08T20:01:18Z,2021-01-13T05:17:39Z,2018-09-20T19:09:05Z,427
